velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
0.002104,0.000573,0.000444,0.002133,0.001861,0.001446,0.004395,-0.007748,-0.612822,-0.001890,-0.001339,-0.000582,0.000000,0.000000,0.000000,0.000000,0.000350,0.001051,-16.697325,16.770323,29.997345,16.770323,0.233223,0.000000,0.000000,30.303854,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002253,0.000894,0.000349,0.004183,0.002417,-0.002275,0.004405,-0.007759,-0.612843,-0.000717,0.001901,0.000393,0.000000,0.000000,0.000000,0.000000,0.000378,0.001130,-16.697317,16.770304,30.055475,16.770323,0.233242,0.000000,0.000000,30.084541,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.001811,0.001000,-0.000008,0.003275,0.003558,-0.007512,0.004394,-0.007717,-0.612830,0.000313,0.000749,0.001572,0.000000,0.000000,0.000000,0.000000,0.000259,0.001116,-16.697239,16.770243,29.957710,16.770323,0.233234,0.000000,0.000000,30.095110,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002164,0.001162,0.000217,0.006568,0.003294,-0.008062,0.004378,-0.007729,-0.612854,-0.000111,-0.001946,-0.001052,0.000000,0.000000,0.000000,0.000000,0.000205,0.001110,-16.697197,16.770205,30.105680,16.770323,0.233229,0.000000,0.000000,30.110964,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002281,0.001091,0.000268,0.007613,-0.000363,0.001074,0.004362,-0.007743,-0.612856,0.000924,-0.000330,-0.000056,0.000000,0.000000,0.000000,0.000000,0.000303,0.001193,-16.697199,16.770187,30.155884,16.770323,0.233876,0.000000,0.000000,30.126818,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002280,0.001023,0.000387,0.004527,0.001170,-0.001815,0.004360,-0.007743,-0.612815,0.000627,-0.002144,0.001081,0.000000,0.000000,0.000000,0.000000,0.000351,0.001208,-16.697195,16.770260,29.867870,16.770323,0.233140,0.000000,0.000000,30.029053,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002112,0.000707,0.000609,0.010137,0.003224,0.005490,0.004339,-0.007782,-0.612794,0.000641,0.000197,-0.001294,0.000000,0.000000,0.000000,0.000000,0.000282,0.001118,-16.697359,16.770393,30.258934,16.770323,0.233278,0.000000,0.000000,30.208731,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002563,0.000354,0.000677,0.007710,0.000522,0.003736,0.004340,-0.007755,-0.612748,0.001525,-0.000155,-0.000375,0.000000,0.000000,0.000000,0.000000,0.000313,0.001041,-16.697424,16.770441,30.206087,16.770323,0.233953,0.000000,0.000000,30.031694,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002442,0.000295,0.000804,0.007367,0.000043,-0.005499,0.004347,-0.007742,-0.612745,0.000481,-0.000614,0.001253,0.000000,0.000000,0.000000,0.000000,0.000306,0.001068,-16.697437,16.770433,30.108322,16.770323,0.233546,0.000000,0.000000,30.121534,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002249,0.000270,0.000568,0.005972,0.001687,0.004519,0.004352,-0.007753,-0.612725,0.000576,-0.001536,0.000505,0.000000,0.000000,0.000000,0.000000,0.000364,0.001027,-16.697384,16.770363,29.999987,16.770323,0.233383,0.000000,0.000000,30.060760,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002540,0.000102,0.000373,0.011348,-0.000321,-0.003181,0.004387,-0.007775,-0.612698,0.000499,-0.000136,-0.000512,0.000000,0.000000,0.000000,0.000000,0.000292,0.000969,-16.697393,16.770348,30.192877,16.770348,0.233328,0.000000,0.000000,29.902222,1477846813,248144910,3740574,0.000000,0.000000,0.000000,1,0,1
0.002303,-0.000281,0.000713,0.004009,-0.000118,0.005664,0.004287,-0.007814,-0.612323,0.000899,-0.001678,0.000521,0
