velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487113,12946704,96,1.538739,0.260293,1.029016,11,0,1
-0.000156,0.000107,0.037109,-0.002430,0.001658,0.822827,-0.001333,-0.000968,0.000002,0.006321,0.009087,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000001,-100.100700,99.923721,100.101395,99.922318,0.101502,0.022596,1.812502,100.100700,1038487113,12946704,96,1.538739,0.260293,1.029016,11,0,1
-0.001176,0.000816,0.163588,-0.011279,0.007876,1.734932,-0.000542,-0.000401,0.000001,0.004219,0.005640,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,0.000034,-100.108406,99.933914,100.111588,99.922318,0.112037,0.022596,1.812502,100.108406,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
-0.002570,0.001680,0.354047,-0.010531,0.004957,1.950257,-0.002463,-0.002565,0.000055,-0.063582,-0.057909,0.000396,0.000000,0.000000,0.000000,0.000000,-0.000232,0.000162,-100.131783,99.961105,100.138786,99.922318,0.139715,0.022596,1.812502,100.131783,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
0.000112,-0.001988,0.535673,0.029728,-0.040026,1.680107,-0.005254,-0.005743,0.000085,0.006884,0.006929,-0.000009,0.000000,0.000000,0.000000,0.000000,-0.000416,0.000223,-100.174370,100.007385,100.185059,99.922318,0.186439,0.022596,1.812502,100.174370,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
0.003018,-0.005904,0.685117,0.024625,-0.033846,1.318733,-0.003095,-0.003162,0.000062,0.031549,0.024764,-0.000177,0.000000,0.000000,0.000000,0.000000,-0.000269,-0.000155,-100.234138,100.070175,100.247856,99.922318,0.249607,0.022596,1.812502,100.234138,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
0.003445,-0.006674,0.797886,0.002477,-0.005053,0.941898,-0.001387,-0.000784,0.000036,0.015864,0.009765,-0.000223,0.000000,0.000000,0.000000,0.000000,0.000068,-0.000800,-100.307594,100.145920,100.323593,99.922318,0.325624,0.022596,1.812502,100.307594,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
0.002612,-0.005552,0.873845,-0.008572,0.011797,0.577302,-0.000773,0.000252,0.000013,0.005906,0.003667,-0.000199,0.000000,0.000000,0.000000,0.000000,0.000386,-0.001433,-100.390991,100.230850,100.408531,99.922318,0.410743,0.022596,1.812502,100.390991,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
0.001387,-0.003784,0.915125,-0.012149,0.017447,0.244265,-0.000620,0.000449,-0.000004,-0.001310,-0.000406,-0.000141,0.000000,0.000000,0.000000,0.000000,0.000600,-0.001921,-100.480667,100.321381,100.499054,99.922318,0.501356,0.022596,1.812502,100.480667,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
0.000200,-0.002122,0.925551,-0.011495,0.015986,-0.042631,-0.000804,0.000114,-0.000015,-0.004533,-0.002784,-0.000078,0.000000,0.000000,0.000000,0.000000,0.000691,-0.002231,-100.573257,100.414185,100.591858,99.922318,0.594179,0.022596,1.812502,100.573257,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
-0.000720,-0.000894,0.910169,-0.008824,0.011737,-0.273611,-0.001095,-0.000326,-0.000019,-0.003847,-0.002740,-0.000023,0.000000,0.000000,0.000000,0.000000,0.000672,-0.002391,-100.665825,100.506439,100.684120,99.922318,0.686398,0.022596,1.812502,100.665825,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
-0.001365,-0.000055,0.874765,-0.006227,0.008119,-0.443803,-0.001320,-0.000613,-0.000019,-0.001967,-0.001740,0.000014,0.000000,0.000000,0.000000,0.000000,0.000573,-0.002445,-100.755997,100.595901,100.773575,99.922318,0.775757,0.022596,1.812502,100.755997,1038487091,12946715,140,-1.069574,-0.004766,0.389158,11,0,1
-0.001828,0.000568,0.825395,-0.004520,0.006136,-0.552917,-0.001452,-0.000744,-0.000016,-0.000867,-0.001022,0.000035,0.000000,0.000000,0.000000,0.000000,0.000417,-0.002425,-100.841972,100.680878,100.858551,99.922318,0.860609,0.022596,1.812502,100.841972,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,11,0,1
-0.002185,0.001091,0.767946,-0.003494,0.005175,-0.604736,-0.001538,-0.000817,-0.000012,-0.000710,-0.000761,0.000042,0.000000,0.000000,0.000000,0.000000,0.000220,-0.002348,-100.922585,100.760330,100.938004,99.922318,0.939912,0.022596,1.812502,100.922585,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,11,0,1
-0.002467,0.001544,0.707771,-0.002760,0.004455,-0.606393,-0.001610,-0.000895,-0.000008,-0.000871,-0.000700,0.000038,0.000000,0.000000,0.000000,0.000000,-0.000009,-0.002221,-100.997231,100.833755,101.011429,99.922318,1.013189,0.022596,1.812502,100.997231,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,11,0,1
-0.002685,0.001919,0.648049,-0.002116,0.003635,-0.729803,-0.001678,-0.000991,0.000454,-0.001243,-0.000112,0.059084,0.000000,0.000000,0.000000,0.000000,-0.000265,-0.002051,-101.065826,100.901154,101.078827,99.922318,1.080429,0.022596,1.812502,101.065826,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,14,0,1
-0.002944,0.002157,0.591464,-0.002915,0.002138,-0.633327,-0.001454,-0.001190,0.031758,-0.001546,0.002872,0.535520,0.000000,0.000000,0.000000,0.000000,-0.000541,-0.001849,-101.128387,100.962555,101.140236,99.922318,1.141702,0.022596,1.812502,101.128387,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,14,0,1
-0.003404,0.002253,0.494898,-0.004721,0.000996,-1.416394,-0.001262,-0.001158,0.106064,0.000817,0.001326,0.914813,0.000000,0.000000,0.000000,0.000000,-0.000851,-0.001629,-101.184448,101.016724,101.194405,99.922318,1.195613,0.022596,1.812502,101.184448,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,14,0,1
-0.003937,0.002351,0.333833,-0.005284,0.000949,-1.654494,-0.001272,-0.001130,0.200835,-0.001816,-0.000997,0.928180,0.000000,0.000000,0.000000,0.000000,-0.001211,-0.001400,-101.228004,101.057053,101.234734,99.922318,1.235530,0.022596,1.812502,101.228004,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,14,0,1
-0.004401,0.002349,0.190093,-0.004448,-0.000269,-1.213852,-0.001415,-0.001347,0.284639,-0.002722,-0.001193,0.734797,0.000000,0.000000,0.000000,0.000000,-0.001623,-0.001163,-101.255455,101.081589,101.259262,99.922318,1.259703,0.022596,1.812502,101.255455,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,14,0,1
-0.004732,0.002162,0.089320,-0.003215,-0.002019,-0.856134,-0.001483,-0.001519,0.344995,-0.001241,-0.000472,0.477522,0.000000,0.000000,0.000000,0.000000,-0.002077,-0.000934,-101.270088,101.094177,101.271851,99.922318,1.272043,0.022596,1.812502,101.270088,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,14,0,1
-0.004982,0.001867,0.013550,-0.002451,-0.002956,-0.665157,-0.001531,-0.001578,0.379987,-0.000359,-0.000718,0.236143,0.000000,0.000000,0.000000,0.000000,-0.002560,-0.000729,-101.275665,101.098206,101.275887,99.922318,1.275898,0.022596,1.812502,101.275665,1038487126,12946680,641,-1.458683,-0.682148,-90.866028,14,0,1
-0.005164,0.001551,-0.043142,-0.001734,-0.003114,-0.455521,-0.001618,-0.001589,0.393534,0.000007,-0.001040,0.050664,0.000000,0.000000,0.000000,0.000000,-0.003066,-0.000555,-101.274338,101.095749,101.273422,99.922318,1.273292,0.022596,1.812502,101.274338,1038486955,12946759,1219,-0.413471,2.041709,-3.763315,14,0,1
-0.005245,0.001265,-0.077114,-0.000550,-0.002746,-0.209110,-0.001949,-0.001598,0.394958,-0.000703,-0.011974,0.005826,0.000000,0.000000,0.000000,0.000000,-0.003586,-0.000412,-101.268173,101.088882,101.266563,99.922318,1.266360,0.022596,1.812502,101.268173,1038486955,12946759,1219,-0.413471,2.041709,-3.763315,14,0,1
-0.003903,0.001496,-0.086075,0.018853,0.004362,0.021469,-0.006385,-0.001762,0.395464,-0.002888,-0.083002,0.004401,0.000000,0.000000,0.000000,0.000000,-0.004085,-0.000287,-101.259575,101.080109,101.257782,99.922318,1.257559,0.022596,1.812502,101.259575,1038486955,12946759,1219,-0.413471,2.041709,-3.763315,14,0,1
0.004753,0.004443,-0.078880,0.101182,0.034764,0.119978,-0.019029,-0.002359,0.395761,-0.008998,-0.166366,0.001176,0.000000,0.000000,0.000000,0.000000,-0.004226,-0.000054,-101.250832,101.071518,101.249191,99.922318,1.248986,0.022596,1.812502,101.250832,1038486955,12946759,1219,-0.413471,2.041709,-3.763315,14,0,1
0.028445,0.012758,-0.065365,0.257922,0.090520,0.156972,-0.038367,-0.003449,0.395730,-0.010517,-0.187594,-0.002212,0.000000,0.000000,0.000000,0.000000,-0.002975,0.000662,-101.243149,101.064102,101.241783,99.922318,1.241618,0.022596,1.812502,101.243149,1038486955,12946759,1219,-0.413471,2.041709,-3.763315,14,0,1
0.068938,0.027000,-0.049611,0.414357,0.145736,0.165582,-0.051526,-0.004192,0.395422,-0.005911,-0.094294,-0.004311,0.000000,0.000000,0.000000,0.000000,0.001331,0.002451,-101.236977,101.058258,101.235939,99.922318,1.235813,0.022596,1.812502,101.236977,1038486955,12946759,1219,-0.413471,2.041709,-3.763315,14,0,1
0.119725,0.044828,-0.033580,0.516332,0.181178,0.172035,-0.061922,-0.004810,0.394982,-0.007392,-0.128555,-0.004932,0.000000,0.000000,0.000000,0.000000,0.010104,0.005811,-101.232445,101.054062,101.231735,99.922318,1.231654,0.022596,1.812502,101.232445,1038486955,12946759,1219,-0.413471,2.041709,-3.763315,14,0,1
0.182704,0.066933,-0.014649,0.646979,0.227203,0.214864,-0.078300,-0.005649,0.394573,-0.009942,-0.196220,-0.004408,0.000000,0.000000,0.000000,0.000000,0.024373,0.011100,-101.229637,101.051636,101.229317,99.922318,1.229282,0.022596,1.812502,101.229637,1038486955,12946759,1219,-0.413471,2.041709,-3.763315,14,0,1
